"Aircraft observed a UAS while ENE bound at 5,000 feet, 1 NM S of APC. No evasive action was taken. ","1 NM S of APC","N9577P DEPARTED RWY 19R SOUTHEAST BOUND AND IMMEDIATELY REPORTED A DRONE OFF HIS LEFT SIDE AND IT TURNED WITH N9577P.",NA,"NA","NA"
"Aircraft observed a UAS off the front while NE bound at 14,000 feet, 6NM W of EMT. No evasive action was taken. Los Angeles County Sheriff notified at 562-421-2701.","6NM W of EMT","THE PIC OF QTR742 REPORTED A DRONE WAS HEADING TOWARD THE COCKPIT, THEN TURNED OFF TO THE WEST BEFORE IMPACT.  LA COUNTY SHERIFF'S DEPARTMENT CALLED AT 562-421-2701.",NA,"NA","NA"
"Aircraft observed a black and yellow single rotor UAS while E bound at 2,400 feet 4 mile W of LGB. No evasive action was taken. LA County Sheriffs Department AERO Unit notified. ",NA,"N636SA RPTD UAS 4NM W LGB @ 2400MSL. BLACK/YELLOW SINGLE ROTOR. PIC RPTD UAS CAME REALLY CLOSE TO AC BUT DID NOT COLLIDE. ACN.","4NM W","33.82","-118.26"
"Aircraft observed a black or brown UAS while NW bound at 2,400 feet, 5 NM SSE of TTN. No evasive action was taken. PHL Airport PD notified at 215-937-6963.","5 NM SSE of TTN","N608MM, OPERATING UNDER CALL SIGN OLIVIA608 REPORTED A DRONE 5 TO 6 MILES S OF TTN WHEN THEY WERE ON FINAL TO RY34 AT 2300FT. THE DRONE WAS EITHER HOVERING OR MOVING OPPOSITE DIRECTION.  THEY WERE APROX 150 BELOW THE DRONE AND 1/4 MILE AWAY. SMALL BLACK COLORED DRONE ABOUT THE SIZE OF A LARGE BIRD. NO EFFECT ON FLIGHT. TTN TOWER NOTIFIED. PHL AIRPORT POLICE NOTIFED AT 215-937-6963. ","6 MILES S OF TTN","40.190833","74.739167"
"Aircraft observed a black UAS 200 feet below them off the front while NW bound at 2,000 feet, 6NM final to RWY 31L. No evasive action was taken. JFK Port Authority notified at 718-244-8100.","6NM ","DAL233 REPORTED A SMALL BLACK UAS 200 FT UNDER THEIR AC WHILE ON 6 MILE FINAL TO RWY 31L WHILE THEY WERE AT 2000FT. NO EVASIVE ACTION WAS TAKEN. ALL NECESSARY STEPS TAKEN.",NA,"NA","NA"
"VFR Aircraft observed a UAS off the left side while S bound at 1,000 feet, on the right downwind to RWY35. No evasive action was taken. LEO notification not reported.",NA,"N79178 WAS ON A RIGHT DOWNWIND FOR RWY 35 ABEAM THE NUMBERS AND REPORTED A DRONE OF HIS LEFT AT 1000'.",NA,"NA","NA"
"Aircraft observed a medium sized UAS off the right side while NE bound at 9,000 feet, 3NM SE of MIE. No evasive action was taken. Indiana PD notified.","3NM SE of MIE","0014Z N713CD REPORT MEDIUM SIZE UAS PASS RIGHT TO LEFT WESTBOUND. NO EVASIVE ACTIONS, NO INJURIES. Notifications made via phone and on frequency. Incident occurred in  Indianapolis Approach airspace, coordination complete for notifications",NA,"40.1208","85.1847"
"Aircraft observed a group of quadcopter UAS off the left side between 8,000 and 10,000 feet while N bound at 11,500 feet 14 miles NW of PHX.  No evasive action was taken. Phoenix PD notified at 602-273-3311.","14 miles NW of PHX","FFT752 was departing PHX on the MRBIL SID. FFT752 reported multiple quad copter type UAS below them at approximately 8000'-10,000'. No evasive action taken by the pilot. PHX police notified at 602-273-3311.",NA,"NA","NA"
"Aircraft observed a white UAS off the front while W bound at 7,000 feet, 15 NM SW of ORD. No evasive action was taken. FBI notified at 312-421-6700.","15 NM SW of ORD","UAL2234 REPORTED A UAS AT HIS 12 O'CLOCK, 1700FT ABOVE HIM.  NO DAMAGE OR EVASIVE MANEUVERS.",NA,"NA","NA"
"Aircraft observed a white and blue quadcopter UAS while NW bound at 1,100 feet, 3 NM NW of PNE. No evasive action was taken. Philadelphia City PD notified at 215-686-3080.","3 NM NW of PNE","N21566 WAS 3NM NORTHWEST OF PNE AND REPORTED A DRONE BELOW AT UNKNOWN ALTITUDE AND DISTANCE FROM AIRCRAFT. NO EVASIVE ACTION WAS TAKEN","3NM NORTHWEST OF PNE","NA","NA"
"Aircraft observed a UAS off the left side while SE bound at 4,400 feet, 12 NM SE of LBB. No evasive action was taken. Law enforcement notification not reported.","12 NM SE of LBB","N7372J was VFR enroute to F49 when LBB approach terminated radar services.  The pilot acknowledged the termination and frequency change then advised LBB approach he wanted to report drone activity at the same altitude (alt 044).  LBB approach asked the for exact location, pilot reported 6nm northwest of F49 or lat/long 33 33 58/101 42 59.  We contacted the pilot after landing and pilot said the drone appeared to be non-commercial drone and was very small and was unable to tell type or color.  Pilot though it was a bird at first but said it was defiantly a drone as he got closer to it.  The closest proximity was approximately 50 feet off his left wing and same altitude (044).  ","6nm northwest of F49","33.3358","101.4259"
"Aircraft observed a white quadcopter UAS 500 feet below them off the right side while E bound at 1,800 feet, 2NM final to RWY10L.  No evasive action was taken. Palm Beach County Sheriff notified at 561-688-3660.","2NM ","FTH955 (C750) was on a 2 mile final for Rwy 10L, out of 009, and advised they had seen a drone off the 2 o'clock.  Proximity to pilot was ""not close"", and the pilot advised that the drone was at 1,300', white in color and approximately 2' in diameter.  PBSO notified (561)688-3660.",NA,"NA","NA"
"Aircraft observed a dark UAS off the right side while SW bound at 2500feet, 8 NM south of ADW. No evasive action was taken.  Drone was northbound at 2700.   Prince Georges County Sheriff notified at 301 856 3130","8 NM south of ADW","N4307Y,P32R,REPORTED UAS ACTIVITY TO PCT AT 2227Z. N4307Y WAS ON THE ADW183 RADIAL 9NM AT 2500' HEADING 240. DRONE PASSED OVERHEAD AT 2700'HEADING 360. NO EVASIVE ACTIONS TAKEN, NO INJURIES. PRINCE GEORGE'S COUNTY POLICE NOTIFIED, (301)856-3130.","9NM ","NA","NA"
"Aircraft observed a UAS off the left side while SE bound at 2,000 feet, 6NM NW of HOU. No evasive action was taken. Houston PD notified at 713-884-3131.","6NM NW of HOU","SWA4224 checked in on visual approach to runway 13R, the pilot stated that as soon as they turned final around (6 miles) to runway 13R, a drone passed off their left side around 1800'. No evasive maneuvers were taken, no additional sightings were reported. Houston PD has been notified and will dispatch a unit to the location. ","6 miles","NA","NA"
"Aircraft observed a UAS while NE bound at 4,300 feet, 3 NM E of OOD. No evasive action was taken. PAPD notified at 215-937-6963.","3 NM E of OOD","JIA5078 ON VECTORS TO RWY 35 FA. REPORTED DRONE AT 043 OFF THE LEFT OF THE A/C APPROX 50 FT FROM A/C. NO EVASIVE ACTION REPORTED. PIC HAS NOT CALLED FACILITY. PHL AP CALLED AT 0003Z (215) 937 6963.",NA,"39.660000000000004","75.227778"
"Aircraft observed a UAS while SE bound at 2300 feet, 5 NM NE of EWR. No evasive action was taken. NJ Port Authority notified at 973-961-6015.","5 NM NE of EWR","UAL 776 WAS ON THE STADIUM VISUAL APPROACH TO RUNWAY 29.  PILOT REPORTED U.A.S. AT 2300 FEET APPROX 5 NE OF THE AIRPORT. PILOT DID NOT SEE THE U.A.S. IN TIME TO TAKE ANY ACTION AS IT PASSED BELOW THE RIGHT WING OF THE B737.  TEB TOWER NOTIFIED. ATIS WAS BROADCASTED ABOUT U.A.S. PORT AUTHORITY OPS NOTIFIED ALONG WITH OPERATION MANAGER AT EWR.  ROC AND THE DEN WAS NOTIFIED AS WELL. PILOT CALLED EWR TOWER AND PROVIDED NO MORE SIGNIFICANT INFORMATION ABOUT THE INCIDENT. ",NA,"NA","NA"
"Aircraft observed a UAS off the 12 o'clock while west bound at 100 feet, OVHD of CXY. No evasive action was taken. Pattern was closed. Airport OPS talked to the operator, who ceased operations, but did not collect any identifying info. LEO notified at 717-774-0400.",NA,"HELICOPTER IN THE TOWER PATTERN RY30 REPORTED A SMALL REMOTE CONTROLLED AIRPLANE OFF THE DEPARTURE END OF THE RUNWAY. PATTERN WAS CLOSED AND 911 CALLED AND AIRPORT OPS CALLED TO INVESTIGATE. AIRPORT OPS CALLED SHORTLY AFTER AND REPORTED HAVING TALKED TO HIM AND MADE HIM STOP. HE DID NOT GET THE INDIVIDUALS INFORMATION.",NA,"NA","NA"
"Aircraft observed a UAS while S bound at 1,500 feet, 4 NM NW of LGA. No evasive action was taken. NYPD Aviation Unit notified at 718-692-1220.","4 NM NW of LGA","METRO27/HELO AND UNKNOWN A/C IN HUDSON RIVER EXCLUSION ADVISED CBA OF A DRONE ALONG THE HUDSON RIVER NORTHBOUND AT 800FT. NO EVASIVE ACTION. METRO27 WAS TRAVELING SOUTHBOUND ON THE HUDSON RIVER AT 1500FT, UNKNOWN A/C WAS AT 1000FT. NYPD AVIATION ADVISED AND WILL INVESTIGATE. DEN NOTIFIED AT 1928.",NA,"NA","NA"
"Aircraft observed a black and gray UAS while E bound at 400 feet, 3 NM NW of TJSJ. No evasive action was taken. San Juan PD notified at 787-791-0098.","3 NM NW of TJSJ","N5854Z (HEL/VFR) flying along the shoreline at 400ft inbound to SJU reported a small back and grey drone stationary 50ft over the helicopter. No evasive maneuver needed. HEL continue to the airport and ATIS was updated with the drone activity information. All adjacent facilities notified. ACFT transitioning same route were advised. Airport Police Department notified. DEN/VE. ROC. ",NA,"NA","NA"
"Aircraft observed a UAS off the right side while north bound at 10,000 feet, 13 NM SE of BXK. No evasive action was taken. LEO notified at 602-876-1030.","13 NM SE of BXK","LUF RAPCON Supervisor called the ZAM OMIC to report an unauthorized quad copter NE of the BXK VOR inside of LUF RAPCON airspace. The UAS was spotted by a flight of 2 F35 aircraft heading North with the UAS spotted at the 2 o'clock position same altitude. LUF RAPCON supervisor notified the Maricopa County Sherriff with the report, and the DEN was notified at 2356Z by ZAB and subsequently updated from LUF RAPCON.",NA,"NA","NA"
"Aircraft observed a UAS off the right side while SE bound at 2,800 feet, 3 NM NW of MSP. No evasive action was taken. LEO notified at 612-726-5777.","3 NM NW of MSP","WHILE ON A VISUAL APPROACH TO RWY 12L EDV5199 REPORTED THAT A YELLOW DRONE WHIZZED PAST THEM OFF OF THEIR LEFT. ONLY 1 WAS SEEN WITH ONLY 1 REPORT FROM AN AIRCRAFT. THE INCIDENT BEGAN ON 8/5/21 AT 0030Z AND ENDED AT 0045Z.",NA,"NA","NA"
"Aircraft observed a UAS while N bound at 3,500 feet, 10 NM NW of IRW. No evasive action was taken. OKC Airport PD notified at 405-297-1184.","10 NM NW of IRW","PILOT OF N5216U REPORTED A DRONE AT 0355Z UTC. AIRCRAFT WAS IN LEVEL FLIGHT VFR AT 035 ON AN APPROX 360 DEG HEADING INBOUND TO HSD. WHEN APPROX 10 MI NW OF IRW HAD SIGHTING OF A DRONE AT THEIR 12 O' CLOCK HEADED SOUTHBOUND APPROX 180 HEADING. NO CONTACT WITH AIRCRAFT. PILOT DID NOT HAVE TIME TO MANEUVER. LANDED SAFELY AT HSD. NOTIFIED RAY AT OKC AIRPORT POLICE AND DEN. 

EVENT DATE IN UTC WAS AUG. 5 AT 0355Z. PLEASE NOTE THAT MOR DID NOT ALLOW TO CORRECT FOR EVENT DATE IN UTC. OCCURRED AT 2255 LCL ON AUG. 4, 2021. ",NA,"NA","NA"
"0627 INITIAL/CLOSEOUT: Aircraft observed 2 small yellow UASs while in the left traffic pattern for RWY12L at 2,600 feet. UASs were operating at 3,000-4,000 feet. IWA ATCT moved Aircraft to RWY12R in right closed traffic and was able to observe UAS operating in northern portion of airspace. Mesa PD notified at 480-644-2211. At 0645 all UAS activity exited airspace to the north.",NA,"NDU752 WAS IN THE LEFT DOWNWIND FOR RWY 12L AND REPORTED A DRONE MANUEVERING NORTH-NORTHEAST OF THE AIRSPACE AT 3000 FEET. LOCAL CONTROL WAS ABLE TO INDENTIFY AN ADDITIONAL DRONE IN THE AIRSPACE TO THE NORTH THAT APPEARED AT 4000 FEET. NDU752 REPORTED TAKING NO EVASIVE ACTION AND COMPLETED THEIR APPROACH TO RWY 12L. LOCAL CONTROL CHANGED NDU752 TO THE RIGHT TRAFFIC PATTER FOR RWY 12R ON THE GO. BOTH DRONES APPEARED SMALL, WITH A STEADY YELLOW LIGHT, AND FLASHING RED AND GREEN LIGHTS. THE DRONES APPEARED TO ORBIT TO THE NORTH-NORTHEAST BEFORE DEPARTING THE AIRSPACE TO THE NORTH. ",NA,"NA","NA"
"0312 EDT 0712 UTC 08/05/2021
Aircraft observed 2 small yellow UAS while in the left traffic pattern for RWY12L at 2,600 feet. UAS were operating at 3,000-4,000 feet. IWA ATCT moved Aircraft to RWY 12R in right closed traffic and was able to observe UAS operating in northern portion of airspace. Mesa PD notified ",NA,"NDU752 WAS IN THE LEFT DOWNWIND FOR RWY 12L AND REPORTED A DRONE MANUEVERING NORTH-NORTHEAST OF THE AIRSPACE AT 3000 FEET. LOCAL CONTROL WAS ABLE TO INDENTIFY AN ADDITIONAL DRONE IN THE AIRSPACE TO THE NORTH THAT APPEARED AT 4000 FEET. NDU752 REPORTED TAKING NO EVASIVE ACTION AND COMPLETED THEIR APPROACH TO RWY 12L. LOCAL CONTROL CHANGED NDU752 TO THE RIGHT TRAFFIC PATTER FOR RWY 12R ON THE GO. BOTH DRONES APPEARED SMALL, WITH A STEADY YELLOW LIGHT, AND FLASHING RED AND GREEN LIGHTS. THE DRONES APPEARED TO ORBIT TO THE NORTH-NORTHEAST BEFORE DEPARTING THE AIRSPACE TO THE NORTH. ",NA,"NA","NA"
"Aircraft observed a UAS off the right side while W bound at 10,000 feet, 10 NM NW of FLL. No evasive action was taken. Broward County Sheriff notified.","10 NM NW of FLL","SIY899, A FLL DEPARTURE, REPORTED UAS 10NM NW OF FLL OFF RIGHT SIDE AT 10,000FT. NO EVASIVE ACTION TAKEN, NO INJURIES REPORTED. BROWARD SHERIFF'S OFFICE AND DEN (JA) NOTIFIED. FLIGHT CONTINUED WITHOUT INCIDENT.   ","10NM NW OF FLL","26.13","80.16"
"Aircraft observed a UAS 500 feet above off the left side while SE bound at 2000 feet, 7 NM final RWY 13. No evasive action was taken. Brownsville Police notified at 956-551-1219.","7 NM ","XAVTO when on a 7 mile final for landing runway 13 at 2,000 feet reported a black drone approximately 3 feet in diameter off their left side at approximately 2,500 feet. The pilot reported the drone stationary and did not have to alter their course for landing. XAVTO landed and taxied to customs and meet with airport security to give a more detailed description of the event. Several other aircraft landed behind XAVTO and did not report seeing the drone.  ",NA,"NA","NA"
"Aircraft observed a UAS off the 12 o'clock side while west bound at 2,000 feet, 4 NM north of OPF. No evasive action was taken. LEO notified at 305-595-6263.","4 NM north of OPF","HI1055 GLF4 From SKBO to KOPF at 1741Z was Westbound downwind to OPF descending out of 3,000 feet reported seeing 4 drones at one o'clock at 2,000 feet. No action taken by pilot, advised that it happened too quick to get a description. Reported to MDPD 305-595-6263, advised DEN/ROC/ATM.",NA,"NA","NA"
"Aircraft observed a UAS off the 12 o'clock while west bound at 5,500 feet, 4 NM east of PHX. No evasive action was taken. LEO notified at 602-273-3311.","4 NM east of PHX","VTE3302 departed PHX east bound and reported a drone 4 miles east of the airport at around 5,500' - 6,500'. PHX police advised 602-273-3311.","4 miles east","NA","NA"
"Aircraft observed a UAS off the 12 o'clock side while west bound at 3,500 feet, 11 NM east of ORD. No evasive action reported. LEO notified at 312-421-6700.","11 NM east of ORD","AWI3900 REPORTED A BLACK UAS AT THEIR 12 O'CLOCK PASSING A FEW HUNDRED FEET ABOVE IN THE OPPOSITE DIRECTION",NA,"41.5921","87.4145"
"Aircraft observed a UAS off the left side while south bound at 4,500 feet, 7 NM west of AUS. No evasive action was taken. LEO notified at 512-974-0911.","7 NM west of AUS","N8741E REPORTED A DARK QUADCOPTER AT THE SAME ALTITUDE AS HIM(4500FT) SLOWLY HEADING NORTHBOUND, PILOT DID NOT HAVE MAKE ANY MANEUVERS TO AVOID THE UAS.",NA,"NA","NA"
"Aircraft observed 2 UAS OVHD while south bound at 7,000 feet, 15 NM west of AMN. No evasive action was taken. LEO notified at 989-875-7505.","15 NM west of AMN","N23B WAS SOUTHBOUND AT 7000' AND REPORTED 2 LARGER SIZE SILVER DRONES HEADING NORTHBOUND ENTERING THE HERSEY MOA 2000' ABOVE HIS ALTITUDE.",NA,"NA","NA"
"Aircraft observed a black UAS while E bound at 17,000 feet, 40NM ENE of ORD. No evasive action was taken. Chicago FBI notified at 312-421-6700.","40NM ENE of ORD","Unauthorized UAS at ORD 070/040 reported by PDT6083 at 17,000.  Direction of drone unknown, no evasive action taken by pilot.  Drone described as Black in color and about the size of a large bird.  FBI notified 312-421-6700.  DEN Notified 1735Z. ROC notified at 1750Z. No impact to operation, no injuries reported. UAS broadcast made as required.",NA,"NA","NA"
"Aircraft observed a black UAS off the front side while SE bound at 10,000 feet, 19 NM SW of SYR. No evasive action was taken. Cayuga County Sheriff notified at 375-253-1222.","19 NM SW of SYR","AT 2106Z DURNG A SOUTHEASTERLY DESCENT EDV5225, A CRJ7, REPORTED A BLACK UAS OBSERVED AT 10500FT. EDV5225 REPORTED THE UAS APPEARED TO BE STATIONARY, OR POSSIBLY TRAVELING AT A HIGH SPEED SIMILAR TO THE PLANE TO APPEAR STATIONARY. THE PILOTS REPORTED THEY PASSED A FEW HUNDRED FEET BELOW THE OBSERVED UAS. ARDRG CONTROLLER PASSED THE REPORT ALONG TO NEIGHBORING ARTCC SECTORS, ZOB, ZBW, AND ZNY. CAYUGA COUNTY SHERIFF NTFD/315-253-1222. ROC NTFD/2110Z. DEN NTFD/2112Z.",NA,"NA","NA"
"Aircraft observed a silver UAS off the front side while W bound at 2,200 feet, 10 NM N of BLV. No evasive action was taken. St Clair County Sheriff notified at 618-277-3505.","10 NM N of BLV","EURO21 was being vectored for an approach into 14L into BLV when they reported a shiny basketball sized drone that passed right about them at 2500ft. EURO21 took no evasive action. There was one other VFR aircraft in the area that was held up higher just as a precautionary measure. BLV ATCT notified 2207z.  DEN notified at 2222z. St. Clair County Sheriff notified 2223z. ",NA,"NA","NA"
"Aircraft observed a white UAS 500 feet below them off the front while SE bound at 3,000 feet, 10NM final to RWY22R. No evasive action was taken. Michigan State PD notified at 517-241-8000.","10NM ","FDX505 REPORTED A SMALL WHITE QUADROCOPTER 500 FEET BELOW THEM ON A 10 MILE FINAL TO RWY 22R.  NO IMPACT TO AIR TRAFFIC. STATE POLICE NOTIFIED.  WCAA NOTIFIED.  DEN NOTIFIED.",NA,"42.3656","-83.29520000000001"
"Aircraft observed a UAS off the right side while south bound at 800 feet, 1/8 NM east of MCO. No evasive action was taken. LEO notified at 407-893-3600.","1/8 NM east of MCO","SWA2916 (B737 STL-MCO) advised sighting an unauthorized drone while on a 4 mile final to runway 17L (heading 180) between 500-800ft to the right of the approach course (ORL/130/4). The drone was white, quad copter and stationary. Additionally SWA2745 also saw the drone in the same location at 1517z. Later on the drone crossed the final and SWA1668 observed the drone passing off their left wing while on the approach to runway 17L at 800-900ft (1530z). All arrivals were then vectored for runway 18R due to the drone. The Orange County Sheriffs Department was notified (407-893-3600) at 1517z and sent a helicopter out to investigate. The Orange County Sheriffs Department helicopter did not observe the drone anywhere on final and normal operations resumed at 1604z. The DEN & ROC were notified at 1522z & 1525z respectively. ",NA,"NA","NA"
"Aircraft observed a black quadcopter UAS while S bound at 1,500 feet, 5NM WNW of ARR. PIC maneuvered away from the UAS. Kane County Sheriff notified at 630-232-8400.","5NM WNW of ARR","N1234P CALLED INBOUND FROM APPROXIMATELY 15 MILES NE OF THE AIRPORT AND WAS GIVEN ENTRY INTO THE AIRSPACE. WHEN N1234P WAS APPROXIMATELY 5 MILES OUT FROM THE NE, THE PILOT REPORTED SEEING A DRONE AT 1,500 FEET AT THE N END OF A GOLF COURSE. DRONE WAS REPORTED AS BLACK IN COLOR AND APPROXIMATELY 1 METER. PILOT REPORTED THAT DRONE WAS A QUADCOPTER AND WAS HOVERING. PILOT ALSO REPORTED TAKING EVASIVE ACTION TO GET AWAY FROM THE DRONE. AIRCRAFT LANDED WITHOUT INCIDENT.","15 MILES NE OF THE","41.833800000000004","-88.42960000000001"
"Aircraft observed a UAS off the right side while S bound at 1,300 feet, 2NM final to RWY16. No evasive action was taken. Chicago FBI notified at 312-241-6700.","2NM ","N714uf was on a 2 mile final for ry 16 when he reported drone activity west of the final approach course at the same altitude 013msl.  No evasive action was taken by the pilot of the aircraft and he landed safely. The FBI was notified about the incident at (312)421-6700 ext 0.",NA,"NA","NA"
"Aircraft observed a UAS off the right side while north bound at 1,400 feet, 6 NM north of CDW. No evasive action was taken. LEO notified at 973-227-1400.","6 NM north of CDW","A/C REPORTED UAS OFF RIGHT WING JUST OUTSIDE OF CDW AIRPACE AROUND 1300FT MSL",NA,"NA","NA"
"Aircraft observed a UAS while at 500 feet, 1 NM S of ISM. No evasive action was taken. Osceola County Sheriff notified.","1 NM S of ISM","N452MK DEPARTED RY 15 AND SPOTTED A DRONE AT 500 FEET 1 MILE SOUTH OF THE AIPORT. OSCEOLA COUNTY SHERRIFS AVIATION DEPARTMENT WAS NOTIFIED. ",NA,"NA","NA"
"Aircraft observed a UAS off the right side while S bound at 6,500 feet, 23 NM NW of LGC. No evasive action was taken. Talladega PD notified at 256-362-4162.","23 NM NW of LGC","Drone Sighting,
N831ED/SR20/T VFR  enroute to MGM southbound at six thousand five hundred. At approximately 2119Z N831ED reported a single drone sighting at the LGC320023. The observer was flying southbound and the drone was observed at the 3Oclock position on the right wing. The size was not available, and the color was mostly black. There were no impact to the operation. The Talladega police department,the ATM and the DEN were notified.",NA,"NA","NA"
"Aircraft reported nearly colliding with a red colored drone with lights while at 1,100 feet on left downwind RWY 31. HQ DEN contacted PAO CIC who reports LEO was not notified and there have been no further UAS sightings. The CIC was advised of DEN UAS reporting requirements and recommended  requesting an updated UAS checklist from management. AWO notified. ",NA,"The pilot of N879HZ, a Cessna Skyhawk, reported he nearly collided with a drone in the Left Downwind of RWY 31 at approximately 012ft. He reported the drone to be red in color with lights headed possibly northwest bound. 

The LC announced to all aircraft the location and report of the drone. At this time of this, no other aircraft reported seeing the drone. N879HZ landed without issue and continued pattern work.",NA,"37.45","-122.12"
"Aircraft observed a UAS off the right side while W bound at 1,700 feet, 10 NM E of IAH. No evasive action was taken. Houston PD notified at 281-230-6859.","10 NM E of IAH","UAL1245 B738 ON FINAL FOR RWY27 OVER FESTA REPORTED A RED AND WHITE DRONE OFF HIS RIGHT WING 200-300 FEET BELOW HIM. NO EVASIVE ACTIONS WERE TAKEN.  NO FURTHER INFORMATION PROVIDED.  DEN NOTIFIED-JH/2320Z.  
HPD NOTIFIED-P.CISERNOS/2324Z.  HAS NOTIFIED-VO/23:25.  ATM NOTIFIED LY/23:27",NA,"NA","NA"
"Aircraft observed a black UAS off the left side while NW bound at 3,700 feet, 10 NM SE of JAN. No evasive action was taken. Rankin County Sheriff notified at 601-825-1480.","10 NM SE of JAN","N59019 WAS 10 SE OF JAN AT 037 FT WHEN HE REPORTED A BLACK UAS, SAME ALTITUDE, OPPOSITE DIRECTION OFF LEFT WING. NOTIFIED ROC, RANKIN COUNTY SHERIFF, AND ATM. ATTEMP TO NOTIFY DEN WAS MADE, ON HOLD 30+ MINS, NO ANSWER.",NA,"32.196000000000005","89.85300000000001"
"Aircraft observed a black UAS pass 200 feet below right side of aircraft while N bound at 3,600 feet, 10 NM S of CLT. No evasive action was taken. Fort Mill PD notified at 803-547-2022.","10 NM S of CLT","AAL1701 REPORTED A BLACK DRONE JUST OFF HIS RIHT WING ABOUT 200 FEET BELOW HIM.  DEN AND FORT MILL PD ADVISED.  ",NA,"35.0203","80.5228"
"Aircraft observed a UAS off the right side while N bound at 16,000 feet, over GGE. No evasive action was taken. Georgetown County notified at 843-546-5102.",NA,"At 1140Z JIA5024;CRJ9 that departed KCHS for KPHL reported to ZJX seeing a black and silver object at 160 that could have been a weather balloon or UAP. There was no other information provided by the pilot. There were no actions taken by the flight crew to avoid. This was not reported as a NMAC.  DEN/ROC/Local Law enforcement notified.",NA,"31.11","79.25"
"Aircraft observed a yellow UAS off the right side while S bound at 12,000 feet, 12NM S of CYN. No evasive action was taken. LEO notified not reported.","12NM S of CYN","WASHINGTON ARTCC(ZDC), AREA-4(PHILLY) CASINO RADAR(CAS) SECTOR, R-51 ON FREQ 127.70, WAS IN CONTROL OF N469BC, SF50/G, SOUTHBOUND, WHEN THE AIRCRAFT REPORTED ENCOUNTERING A POSSIBLE UAS ON THE CYN180012 AT 12000 MSL. UAS NE BOUND, SAME ALTITUDE, PASSED WITHIN 300 FEET, NO EVASIVE ACTION, YELLOW, NUMBER OF ROTORS UNKNOWN. LAW ENFORCEMENT NOTIFIED, NJ STATE TROOPERS, COUNTER TERRORISM UNIT AT 866-472-3365.",NA,"NA","NA"
"Aircraft observed a red/blue UAS off the right side while NW bound at 1,400 feet, 6 NM W of LIT. No evasive action was taken. Little Rock PD notified at 501-371-4829.","6 NM W of LIT","N5041E, VFR, DEPARTED KLIT HEADING W/NW. WHEN THEY WERE APPROX 6NM W/NW OF KLIT AT 1400FT, THEY REPORTED A UAS APPROX 100 FEET BELOW THEM. THE UAS WAS APPROX 2-3 FEET ACROSS AND WAS RED AND BLUE IN COLOR. NO EVASIVE MANEUVERS WERE REQUIRED. DID NOT DELAY OR INTERFERE WITH AIR TRAFFIC OPERATIONS AT KLIT. REPORTED TO THE DEN (1525Z) AND LRPD (1527Z). ","6NM W","NA","NA"
"Aircraft observed a black UAS off the left side while SW bound at 1,250 feet, 1 NM NE of MDW. No evasive action was taken. No impact to airport operations. LEO notified at 911.","1 NM NE of MDW","SWA2909 WAS ON SHORT FINAL FOR RWY 22L AND REPORTED SEEING A SMALL BLACK DRONE AT ROUGHLY 650FT AGL, SWA2909 LANDED WITHOUT INCIDENT AND TAXIED TO THE GATE. ",NA,"NA","NA"
"Aircraft observed a Quadcopter while north westbound at 6,000 feet, 2 NM north of BAL. No evasive action was taken. MDTA notified at 410-858-7042.","2 NM north of BAL","UAS report: N4301S, BE33, Pilot reported quad copter 2 miles north of BAL VOR to BELAY sector on 125.525, less than a mile at alt. 060, no evasive action taken, no injuries.  Anne Arundel Police notified at (410)222-8610, NCRCC notified.","2 miles north of BAL","39.190556","-76.673333"
"Aircraft observed a white 2ft wide UAS off the left side at 6,000 feet, 5 NM E of MIA. No evasive action was taken. Miami Dade PD notified at 305-595-6263.","5 NM E of MIA","GTI6901 A B767 REPORTED UAS ACTIVITY APPROX 5 MILES EAST OF MIA AT APPROX 6000. PILOT REPORTED WHITE DRONE APPROX 2 FT WIDTH. PILOT REPORTED NO EVASIVE ACTION. TOWER WAS ASVSD. UNAUTHERIZED UAS ACTIVITY BROADCAST. MDAD PD ADVSD. DEN ADVD. ","5 MILES EAST OF MIA","NA","NA"
"Aircraft observed a UAS the size of a car traveling fast at approximately 250 (mph) while SE bound at FL230, 34 NM NW of ABI. No evasive action was taken. Jone County PD notified. No number given. ","34 NM NW of ABI","N340GT REPORTED A DRONE SIGHTING AT HIS ALTITUDE OF FL230. THE PILOT REPORTED THE DRONE FLY BY ABOUT A WINGS LENGTH FROM THE COCKPIT MOVING RELATIVE TO HIM ABOUT 250 MPH. THERE WAS NO IFR TRAFFIC AROUND N340GT OR MILITARY ACTIVITY AT THAT TIME. DEN/JONES COUNTY SHERIFF'S DEPARTMENT NOTIFIED.",NA,"33.51","99"
"Aircraft observed a red qua-copter off the left wing at 2,600 feet, 3.5 NM NE of ADS. No evasive action was taken. DFW DPS notified at 972-973-3210.","3.5 NM NE of ADS","TRF291 NORTHBOUND ON THE DOWNWIND FOR RWY 15 AT 025 FT, REPORTED A DRONE OFF THEIR LEFT WING AT 026 FT, RED QUADCOPTER, EASTBOUND, 3.5 MILES NE OF ADS. NO EVASIVE MANUEVERS REQUIRED. 
DFW DPS NOTIFIED (KATHY) 972-973-3210. 
ROC NOTIFIED (JIM). 
DEN NOTIFIED (ZW). 
ADS ATM NOTIFIED. 
D10 AND DAL FACILITIES NOTIFIED. ","3.5 MILES NE OF ADS","NA","NA"
